Heading Number	Heading	URL	Citation Number	Code	Citation	Abbreviation	Access Point Use	Notes
61	Fasch, Johann Friedrich, 1688-1758	https://cmc.wp.musiclibraryassoc.org/thematic-index/fasch-johann-friedrich-1688-1758-2/	2	Küntzel	Küntzel, Gottfried. \"Die Instrumentalkonzerte von Johann Friedrich Fasch (1688-1758).\" Doctoral diss., Johann Wolfgang Goethe-Universität, Frankfurt am Main, 1965.	K.	Variant access points only.	
62	Ferrabosco, Alfonso, 1543-1588	https://cmc.wp.musiclibraryassoc.org/thematic-index/ferrabosco-alfonso-1543-1588/	1	Charteris1984	Charteris, Richard. Alfonso Ferrabosco the Elder (1543-1588): A Thematic Catalogue of His Music: With a Biographical Calendar. Thematic Catalogue Series, no. 11. New York: Pendragon Press, 1984.	RC (n 82224324)	Authorized or variant access points.	
63	Fiala, Joseph, 1748-1816	https://cmc.wp.musiclibraryassoc.org/thematic-index/fiala-joseph-1748-1816/	1	Reinländer	Reinländer, Claus. Joseph Fiala: Thematisch-systematisches Werkverzeichnis. 2d ed. Puchheim: Edition Engel, 1997.	WV (n 81080915)	Authorized or variant access points.	
64	Field, John, 1782-1837	https://cmc.wp.musiclibraryassoc.org/thematic-index/field-john-1782-1837/	1	Hopkinson	Hopkinson, Cecil. A Bibliographical Thematic Catalogue of the Works of John Field. London: The author, 1961.	H.	Variant access points only.	
65	Franck, César, 1822-1890	https://cmc.wp.musiclibraryassoc.org/thematic-index/franck-cesar-1822-1890/	1	Mohr	Mohr, Wilhelm. Caesar Franck. 2., erg. Aufl. Tutzing: H. Schneider, 1969.	FWV	Variant access points only.	
65	Franck, César, 1822-1890	https://cmc.wp.musiclibraryassoc.org/thematic-index/franck-cesar-1822-1890/	2	Fauquet	Fauquet, Joël-Marie. César Franck. Paris: Fayard, 1999.	CFF (n 79130762)	For use in variant access points only.	Index on pages 847-932.
66	Frederick II, King of Prussia, 1712-1786	https://cmc.wp.musiclibraryassoc.org/thematic-index/frederick-ii-king-of-prussia-1712-1786/	1	Spitta	Frederick II. Friedrichs des Grossen musikalische Werke. Edited by Phillipp Spitta. Leipzig: Breitkopf & Härtel, [1889].	S. (n 80056902)	Authorized or variant access points.	
67	Froberger, Johann Jacob, 1616-1667	https://cmc.wp.musiclibraryassoc.org/thematic-index/froberger-johann-jacob-1616-1667/	1	Rampe	Rampe, Siegbert, ed. Ensemblewerke und Verzeichnis sämtlicher Werke (FbWV) = Works for ensemble ; and Catalogue of the complete works (FbWV). Neue Ausgabe sämtlicher Clavier- und Orgelwerke, Bd. 7. Kassel : Bärenreiter, [2015]	FbWV	Variant access points only.	Thematic index begins on page 30.
68	Fux, Johann Joseph, 1660-1741	https://cmc.wp.musiclibraryassoc.org/thematic-index/fux-johann-joseph-1660-1741/	1	Köchel1872	Köchel, Ludwig Ritter von. Johann Josef Fux, Hofcompositor und Hofkapellmeister der Kaiser Leopold I., Josef I. und Karl VI. von 1698 bis 1740, mit einem Bildnisse und zwei Facsimile. Vienna: A. Hölder, 1872. Reprint, Hildesheim: G. Olms, 1974.	K. (n 79132134)	Authorized or variant access points.	
68	Fux, Johann Joseph, 1660-1741	https://cmc.wp.musiclibraryassoc.org/thematic-index/fux-johann-joseph-1660-1741/	2	Federhofer1959	Federhofer, Hellmut. \"Unbekannte Kirchenmusik von Johann Joseph Fux.\" Kirchenmusikalisches Jahrbuch 43. (1959): 113-54.	E. (n 79132134)	For works not included in Köchel1872; use in authorized or variant access points.	
68	Fux, Johann Joseph, 1660-1741	https://cmc.wp.musiclibraryassoc.org/thematic-index/fux-johann-joseph-1660-1741/	3	Federhofer1964	Federhofer, Hellmut and Friedrich W. Riedel \"Quellenkundliche Beitrage zur Johann Joseph Fux-Forschung.\" Archiv fur Musikwissenschaft 21, no. 2 (Aug. 1964): 111-40.	E. (n 79132134)	For works not included in Köchel1872; use in authorized or variant access points.	
69	Gabrieli, Giovanni, approximately 1554-1612	https://cmc.wp.musiclibraryassoc.org/thematic-index/gabrieli-giovanni-approximately-1554-1612/	1	Charteris1996	Charteris, Richard. Giovanni Gabrieli (ca. 1555-1612): A Thematic Catalogue of His Music with a Guide to the Source Materials and Translations of His Vocal Texts. Thematic Catalogues, no. 20. Stuyvesant, N.Y.: Pendragon Press, 1996.	C (n 79070076)	Authorized or variant access points.	There is no space between the abbreviation and the index number (e.g. C151). Index identifiers which include letters do include a space after the abbreviation (e.g. C D16).
69	Gabrieli, Giovanni, approximately 1554-1612	https://cmc.wp.musiclibraryassoc.org/thematic-index/gabrieli-giovanni-approximately-1554-1612/	2	Kenton	Kenton, Egon. Life and Works of Giovanni Gabrieli. Musicological Studies and Documents, 16. N.p.: American Institute of Musicology, 1967.	K	Variant access points only.	
70	Galuppi, Baldassare, 1706-1785	https://cmc.wp.musiclibraryassoc.org/thematic-index/galuppi-baldassare-1706-1785/	1	Illy	Galuppi, Baldassare, detto il Buranello. Sonate per cembalo Rev. and transcribed by Hedda Illy. Musiche vocali e strumentali sacre e profane sec. XVII-XVIII-XIX, no. 37. Rome: De Santis, 1969.	no. (n 80145027)	For harpsichord sonatas; use in authorized or variant access points.	
70	Galuppi, Baldassare, 1706-1785	https://cmc.wp.musiclibraryassoc.org/thematic-index/galuppi-baldassare-1706-1785/	2	Burde	Burde, Ines. Die venezianische Kirchenmusik von Baldassare Galuppi. Frankfurt am Main: P. Lang, 2008.	B.	For sacred works. Variant access points only.	Thematic index is presented as a PDF file on the CD-ROM accompanying the text; numbering is in the form [Roman numeral]/[Arabic numeral]; some citations also appear in RISM Online.
70	Galuppi, Baldassare, 1706-1785	https://cmc.wp.musiclibraryassoc.org/thematic-index/galuppi-baldassare-1706-1785/	3	Pullmann	Pullmann, David E. \"A Catalogue of the Keyboard Sonatas of Baldassare Galuppi (1706-1785).\" M.A. Thesis, American University, 1972.	P. (n  80145027)	For keyboard works not included in Illy, use in authorized or variant access points. For works included in Illy, use in variant access points only.	The index is on pages 168-199.
71	Garcia, José Maurício Nunes, 1767-1830	https://cmc.wp.musiclibraryassoc.org/thematic-index/garcia-jose-mauricio-nunes-1767-1830/	1	Mattos	Mattos, Cleofe Person de. Catálogo temático da obras do Padre José Maurício Nunes Garcia Rio de Janeiro: Ministério da Educação e Cultura, 1970.	M. (n 83013630)	Authorized or variant access points.	
72	Gassmann, Florian Leopold, 1729-1774	https://cmc.wp.musiclibraryassoc.org/thematic-index/gassmann-florian-leopold-1729-1774/	1	Hill	Hill, George Robert. A Thematic Catalog of the Instrumental Music of Florian Leopold Gassmann Music Library Assoc. Indexes and Bibliographies, no. 12. Hackensack, N.J.: Joseph Boonin, 1976.	H. (n 81086844)	For instrumental works; use in authorized or variant access points.	
73	Gibbons, Christopher, 1615-1676	https://cmc.wp.musiclibraryassoc.org/thematic-index/gibbons-christopher-1615-1676/	1	Dodd-Gibbons	Dodd, Gordon, ed. Thematic Index of Music for Viols. [London]: Viola da Gamba Society of Great Britain, 1980-92.	VdGS no. (n 83206593)	For consort works; use in authorized or variant access points.	Index available online (http://vdgs.org.uk/thematic/)
74	Gibbons, Orlando, 1583-1625	https://cmc.wp.musiclibraryassoc.org/thematic-index/gibbons-orlando-1583-1625/	1	Harper	Gibbons, Orlando. Consort Music Transcribed and edited by John Harper. Musica Britannica, 48. London: Stainer and Bell, 1982.	H. (n 82150569)	For consort works; use in authorized or variant access points.	
74	Gibbons, Orlando, 1583-1625	https://cmc.wp.musiclibraryassoc.org/thematic-index/gibbons-orlando-1583-1625/	2	Hendrie	Gibbons, Orlando. Keyboard Music Transcribed and edited by Gerald Hendrie. Musica Britannica, 20. London: Stainer and Bell, 1962.	H. (n 82150569)	For keyboard works; use in authorized or variant access points.	
75	Gossec, François Joseph, 1734-1829	https://cmc.wp.musiclibraryassoc.org/thematic-index/gossec-franc%cc%a7ois-joseph-1734-1829/	1	Role	Role, Claude. François-Joseph Gossec (1734-1829) : un musicien à Paris de l’Ancien Régime à Charles X. Paris: L'Harttman, 2000.	RH (n 79079444)	Variant access points only.	Numbers also available in MGG2.
76	Gottschalk, Louis Moreau, 1829-1869	https://cmc.wp.musiclibraryassoc.org/thematic-index/gottschalk-louis-moreau-1829-1869/	1	Doyle	Doyle, John G. Louis Moreau Gottschalk, 1829-1869: a Bibliographical Study and Catalog of Works Detroit: Published for the College Music Society by Information Coordinators, 1983.	D.	Variant access points only.	
76	Gottschalk, Louis Moreau, 1829-1869	https://cmc.wp.musiclibraryassoc.org/thematic-index/gottschalk-louis-moreau-1829-1869/	2	Offergeld	Offergeld, Robert. The Centennial Catalogue of the Published and Unpublished Compositions of Louis Moreau Gottschalk. New York: Ziff-Davis Publishing Co., 1970.	RO (n 82077132)	Use in variant access points only.	
77	Graun, Johann Gottlieb, 1702 or 3-1771	https://cmc.wp.musiclibraryassoc.org/thematic-index/graun-johann-gottlieb-1702-or-3-1771/	1	Henzel1	Henzel, Christoph. Graun Werkverzeichnis: GraunWV Ortus Studien, 1. Beeskow, Germany: Ortus Musikverlag, 2006.	GraunWV (n 79089440)	See notes; use in authorized or variant access points.	Works in the GraunWV sections C and Cv are cataloged according to procedure for probably authorship if Henzel provides an unequivocal attribution indicated by \"(Komponist: J.G. Graun).\" Lacking such attribution, works are cataloged according to procedures for uncertain authorship. Works in section D are cataloged according to procedures for uncertain authorship unless substantial evidence is available in the item cataloged and/or in references sources attributing a work to a composer other than Johann Gottlieb or Karl Heinrich Graun.
77	Graun, Johann Gottlieb, 1702 or 3-1771	https://cmc.wp.musiclibraryassoc.org/thematic-index/graun-johann-gottlieb-1702-or-3-1771/	2	Mennicke	Mennicke, Carl. Hasse und die Brüder Graun als Symphoniker: Nebst Biographien und thematischen Katalogen. Leipzig: Breitkopf & Härtel, 1906. Reprint, Hildesheim: Georg Olms, 1977.	M.	For symphonies; use in variant access points only.	
77	Graun, Johann Gottlieb, 1702 or 3-1771	https://cmc.wp.musiclibraryassoc.org/thematic-index/graun-johann-gottlieb-1702-or-3-1771/	3	Willer	Willer, Monika. Die Konzertform der Brüder Carl Heinrich und Johann Gottlieb Graun. Europäische Hochschulschriften. Reihe XXXVI, Musikwissenschaft, Bd. 117 (European university studies. Series XXXVI, Musicology, vol. 117). Frankfurt: Lang, 1995.	W.	Variant access points only.	
78	Graun, Karl Heinrich, 1704-1759	https://cmc.wp.musiclibraryassoc.org/thematic-index/graun-karl-heinrich-1704-1759/	1	Henzel2	Henzel, Christoph. Graun Werkverzeichnis: GraunWV Ortus Studien, 1. Beeskow, Germany: Ortus Musikverlag, 2006.	GraunWV (n 83160029)	See notes; use in authorized or variant access points.	Works in the GraunWV sections C and Cv are cataloged according to procedures for probable authorship if Henzel provides an unequivocal attribution indicated by \"(Komponist: C.H. Graun).\" Lacking such attribution, works are cataloged according to procedures for uncertain authorship. Works in section D are cataloged according to procedures for uncertain authorship unless substantial evidence is available in the item cataloged and/or in references sources attributing a work to a composer other than Johann Gottlieb or Karl Heinrich Graun.
79	Graupner, Christoph, 1683-1760	https://cmc.wp.musiclibraryassoc.org/thematic-index/graupner-christoph-1683-1760/	1	Bill	Bill, Oswald and Christoph Grosspietsch. Christoph Graupner: Thematisches Verzeichnis der musikalischen Werke: Graupner-Werke-Verzeichnis, GWV: Instrumentalwerke. Stuttgart: Carus, 2005.	GWV (n 81108881)	For instrumental works; use in authorized or variant access points.	
79	Graupner, Christoph, 1683-1760	https://cmc.wp.musiclibraryassoc.org/thematic-index/graupner-christoph-1683-1760/	2	Bill2015	Bill, Oswald, ed. Christoph Graupner: thematisches Verzeichnis der musikalischen Werke : Graupner-Werke-Verzeichnis, GWV : Geistliche Vokalwerke : Kirchenkantaten, Septuagesimä bis Ostern. Stuttgart: Carus-Verlag, 2015.	GWV	Variant access points only.	
80	Griffes, Charles Tomlinson, 1884-1920	https://cmc.wp.musiclibraryassoc.org/thematic-index/griffes-charles-tomlinson-1884-1920/	1	Anderson	Anderson, Donna K. The Works of Charles T. Griffes: A Descriptive Catalogue. Studies in Musicology, no. 68. Ann Arbor: UMI Research Press, 1983.	A. (n 80089682)	For works without opus no.; use in authorized or variant access points.	
81	Handel, George Frideric, 1685-1759	https://cmc.wp.musiclibraryassoc.org/thematic-index/handel-george-frideric-1685-1759/	1	HWV	Händel-Handbuch Kassel: Bärenreiter, 1978-86.	HWV (n 79129204)	For types of composition, excluding op. 2-7, and other works as required for access point conflict resolution (see relevant rules or instructions in AACR2 or RDA); use in authorized or variant access points.	
81	Handel, George Frideric, 1685-1759	https://cmc.wp.musiclibraryassoc.org/thematic-index/handel-george-frideric-1685-1759/	2	Bell	Bell, A. Craig. Handel: Chronological Thematic Catalogue. Darley, England: Grian-Aig Press, 1972.	B	Variant access points only.	
82	Hartmann, Johann Ernst, 1726-1793	https://cmc.wp.musiclibraryassoc.org/thematic-index/hartmann-johann-ernst-1726-1793/	1	Hatting2	Hatting, Carsten E., Niels Krabbe, and Nanna Schiødt, eds. The Symphony in Denmark. The Symphony, 1720-1840, ser. F, vol. 6. New York: Garland, 1983.	no. (n 82158877)	For symphonies; use in authorized or variant access points.	
83	Haydn, Joseph, 1732-1809	https://cmc.wp.musiclibraryassoc.org/thematic-index/haydn-joseph-1732-1809/	1	Hoboken	Hoboken, Anthony van. Joseph Haydn: Thematisch-bibliographisches Werkverzeichnis. Mainz: B. Schott's Söhne, 1957-78.	H. (n 79091193)	Authorized or variant access points.	
84	Haydn, Michael, 1737-1806	https://cmc.wp.musiclibraryassoc.org/thematic-index/haydn-michael-1737-1806/	1	Sherman	Sherman, Charles H. and T. Donley Thomas. Johann Michael Haydn (1737-1806): A Chronological Thematic Catalogue of His Works. Thematic Catalogues, no. 17. Stuyvesant, N.Y.: Pendragon Press, 1993.	MH (n 79124588)	Authorized or variant access points.	
84	Haydn, Michael, 1737-1806	https://cmc.wp.musiclibraryassoc.org/thematic-index/haydn-michael-1737-1806/	2	Klafsky	Haydn, Michael. Kirchenwerke, ed. Anton Maria Klafsky. Denkmäler der Tonkunst in Österreich, Jahrg. XXXII/1, Bd. 62. Graz: Akademische Druk- u. Verlagsanstalt, 1960.	KL	Variant access points only.	Index on p. v-xiii. Follow the pattern established in New Grove for the form of the number. Use a Roman numeral for the section heading, followed by a colon, followed by the Arabic numeral (e.g. KL IV:1).
84	Haydn, Michael, 1737-1806	https://cmc.wp.musiclibraryassoc.org/thematic-index/haydn-michael-1737-1806/	3	Perger	Haydn, Michael. Instrumentalwerke, 1, ed. Lothar Herbert Perger. Denkmäler der Tonkunst in Österreich, Jahrg. XIV/2, Bd. 29. Vienna: Artaria, 1907.	P.	Variant access points only.	
85	Heinichen, Johann David, 1683-1729	https://cmc.wp.musiclibraryassoc.org/thematic-index/heinichen-johann-david-1683-1729/	1	Seibel	Seibel, Gustav Adolph. Das Leben das Königl. polnischen und Kurfürstl. sächs. Hofkapellmeisters Johann David Heinichen. Leipzig: Breitkopf & Härtel, 1913. Reprint, Westmead: Gress, 1969.	S. (n 84040772)	Authorized or variant access points.	
86	Hensel, Fanny Mendelssohn, 1805-1847	https://cmc.wp.musiclibraryassoc.org/thematic-index/hensel-fanny-mendelssohn-1805-1847/	1	Hellwig	Hellwig-Unruh, Renate. Fanny Hensel geb. Mendelssohn Bartholdy: thematisches Verzeichnis der Kompositionen. Adliswil: Kunzelmann, 2000.	WV	Variant access points only.	
87	Hoffmann, E. T. A. (Ernst Theodor Amadeus), 1776-1822	https://cmc.wp.musiclibraryassoc.org/thematic-index/hoffmann-e-t-a-ernst-theodor-amadeus-1776-1822/	1	Allroggen	Allroggen, Gerhard. E.T.A. Hoffmanns Kompositionen: Ein chronologisch-thematisches Verzeichnis seiner musikalischen Werke mit einer Einführung. Regensburg: Gustav-Bosse-Verlag, 1970.	AV (n 80075856)	Authorized or variant access points.	
88	Hoffmeister, Franz Anton, 1754-1812	https://cmc.wp.musiclibraryassoc.org/thematic-index/hoffmeister-franz-anton-1754-1812/	1	Focht	Focht, Josef. Der Wiener Kontrabass: Spieltechnik und Aufführungspraxis: Musik und Instrumente. Tutzing: Schneider, 1999.	no. (n 81042172)	For the 3 double bass concertos; use in authorized or variant access points.	
88	Hoffmeister, Franz Anton, 1754-1812	https://cmc.wp.musiclibraryassoc.org/thematic-index/hoffmeister-franz-anton-1754-1812/	2	Hickman	Hickman, Roger. \"Thematic Index: Hoffmeister.\" In The Symphony, 1720-1840, ed. Barry S. Brook, ser. B, vol. 5. New York: Garland, 1984.	H. (n 81042172)	For symphonies and symphonies concertantes without opus no.; use in authorized or variant access points.	Thematic index on p. xix-xxv.
88	Hoffmeister, Franz Anton, 1754-1812	https://cmc.wp.musiclibraryassoc.org/thematic-index/hoffmeister-franz-anton-1754-1812/	3	Hoffmeister	Hoffmeister, Franz Anton. Catalogue thématique de tous les œuvres pour la flute traversière. Vienna: Chez l'auteur, 1800. Facsimile reprint in Weinmann, Alexander. Die Wiener Verlagswerke von Franz Anton Hoffmeister. Beiträge zur Geschichte des Alt-Wiener Musikverlages, Ser. II, Bd. 8. Vienna: Universal Edition, 1964.	no. (n 81042172)	For solo flute concertos, regardless of opus numbering; use in authorized or variant access points.	
89	Holst, Gustav, 1874-1934	https://cmc.wp.musiclibraryassoc.org/thematic-index/holst-gustav-1874-1934/	1	Holst	Holst, Imogen. A Thematic Catalogue of Gustav Holst's Music. London: Faber Music Ltd., 1974.	H.	Variant access points only.	
90	Homilius, Gottfried August, 1714-1785	https://cmc.wp.musiclibraryassoc.org/thematic-index/homilius-gottfried-august-1714-1785/	1	Wolf2009	Wolf, Uwe. Gottfried August Homilius: Studien zu Leben und Werk mit Werkverzeichnis (kleine Ausgabe). Stuttgart: Carus, c. 2009.	HoWV	Variant access points only; authorized access point use pending a decision from the Library of Congress.	
91	Hummel, Johann Nepomuk, 1778-1837	https://cmc.wp.musiclibraryassoc.org/thematic-index/hummel-johann-nepomuk-1778-1837/	1	Sachs	Sachs, Joel. \"A Checklist of the Works of Johann Nepomuk Hummel,\" Notes, xxx (1973-4), 732-54.	S.	Variant access points only.	
91	Hummel, Johann Nepomuk, 1778-1837	https://cmc.wp.musiclibraryassoc.org/thematic-index/hummel-johann-nepomuk-1778-1837/	2	Zimmerschied	Zimmerschied, Dieter. Thematisches Verzeichnis der Werke von Johann Nepomuk Hummel. Hofheim am Taunus: F. Hofmeister, 1971.	op. posth., WoO	Authorized or variant access points.	
92	Ivanschiz, Amandus	https://cmc.wp.musiclibraryassoc.org/thematic-index/ivanschiz-amandus/	1	Pokorn	Pokorn, Danilo. \"Thematic Index: Ivančič.\" In The Symphony, 1720-1840, ed. Barry S. Brook, ser. B, vol. 14. New York: Garland, 1985.	P. (n 85006853)	For symphonies; use in authorized or variant access points.	Thematic index on p. xxi-xxiv.
93	Ives, Charles, 1874-1954	https://cmc.wp.musiclibraryassoc.org/thematic-index/ives-charles-1874-1954/	1	Kirkpatrick1960	Kirkpatrick, John. A Temporary Mimeographed Catalogue of the Music Manuscripts and Related Materials of Charles Edward Ives 1874-1954. New Haven, 1960.	K. (n 80035835)	Authorized or variant access points.	
93	Ives, Charles, 1874-1954	https://cmc.wp.musiclibraryassoc.org/thematic-index/ives-charles-1874-1954/	2	Sinclair	Sinclair, James B. A Descriptive Catalogue of the Music of Charles Ives. New Haven: Yale University Press, 1999.	S.	Variant access points only.	
94	Jenkins, John, 1592-1678	https://cmc.wp.musiclibraryassoc.org/thematic-index/jenkins-john-1592-1678/	1	Dodd-Jenkins	Dodd, Gordon, ed. Thematic Index of Music for Viols. [London]: Viola da Gamba Society of Great Britain, 1980-92.	VdGS no. (n 82027775)	Authorized or variant access points.	Index available online (http://vdgs.org.uk/thematic/)
94	Jenkins, John, 1592-1678	https://cmc.wp.musiclibraryassoc.org/thematic-index/jenkins-john-1592-1678/	2	Meyer-Jenkins	Meyer, Ernst Hermann. Die mehrstimmige Spielmusik des 17. Jahrhunderts in Nord- und Mitteleuropa. Kassel: Bärenreiter-Verlag, 1934.	M.	Variant access points only.	
95	Johnson, Robert, approximately 1583-1633	https://cmc.wp.musiclibraryassoc.org/thematic-index/johnson-robert-approximately-1583-1633/	1	Sundermann	Johnson, Robert. Complete Works for Solo Lute Edited and transcribed by Albert Sundermann. London: Oxford University Press, 1972.	S. (n 84123364)	For lute music; use in authorized or variant access points.	
96	Jongen, Joseph, 1873-1953	https://cmc.wp.musiclibraryassoc.org/thematic-index/jongen-joseph-1873-1953/	1	Whiteley	Whiteley, J. S. Joseph Jongen and his Organ Music. Stuyvesant, NY: Pendragon Press, 1997.	W. (n 80096732)	Use in authorized access points for works without opus number; use in variant access points for all works.	Thematic catalogue is on pp. 157-173.
97	Kozeluch, Leopold, 1747-1818	https://cmc.wp.musiclibraryassoc.org/thematic-index/kozeluch-leopold-1747-1818/	1	Poštolka	Poštolka,Milan. Leopold Koželuh, život a dílo (Leopold Koželuh, his life and works). Prague: Státní hudebńi Vydavatelství, 1964.	P. (n 81019572)	Authorized or variant access points.	No. may also be found in Répertoire International des Sources Musicales (RISM) A/I/5.
98	Kraus, Joseph Martin, 1756-1792	https://cmc.wp.musiclibraryassoc.org/thematic-index/kraus-joseph-martin-1756-1792/	1	Van Boer	Van Boer, Bertil H. Die Werke von Joseph Martin Kraus: Systematisch-thematisches Werkverzeichnis. Stockholm: Royal Academy of Music, 1988.	VB	Variant access points only.	
98	Kraus, Joseph Martin, 1756-1792	https://cmc.wp.musiclibraryassoc.org/thematic-index/kraus-joseph-martin-1756-1792/	2	Van Boer1998	Van Boer, Bertil H. Joseph Martin Kraus (1756-1792): a systematic-thematic catalogue of his musical works and source study. Stuyvesant, NY: Pendragon Press, 1998.	VB (n  82223266)	Authorized or variant access points.	
99	Krebs, Johann Ludwig, 1713-1780	https://cmc.wp.musiclibraryassoc.org/thematic-index/krebs-johann-ludwig-1713-1780/	1	Friedrich	Friedrich, Felix. Krebs-Werkeverzeichnis (Krebs-WV): thematisch-systematisches Verzeichnis der musikalischen Werke von Johann Ludwig Krebs. Altenburg: Kamprad, 2009.	Krebs-WV (n 81028127)	Authorized or variant access points.	
100	Krenek, Ernst, 1900-1991	https://cmc.wp.musiclibraryassoc.org/thematic-index/krenek-ernst-1900-1991/	1	Bowles	Bowles, Garrett H. Ernst Krenek: A Bio-Bibliography. New York: Greenwood Press, 1989.	W (n 79068663)	For works without opus number; use in authorized or variant access points.	
101	Krommer, Franz, 1759-1831	https://cmc.wp.musiclibraryassoc.org/thematic-index/krommer-franz-1759-1831/	1	Gillaspie	Gillaspie, Jon A., Marshall Stoneham, and David Lindsey Clark. The Wind Ensemble Catalog. Music Reference Collection, no. 63. Westport, Conn.: Greenwood Press, 1998.	use the identifier as it appears in the index (n 80040737)	For the wind music without opus no.; use in authorized or variant access points.	Thematic index on p. 132-137.
102	Lalande, Michel Richard de, 1657-1726	https://cmc.wp.musiclibraryassoc.org/thematic-index/lalande-michel-richard-de-1657-1726/	1	Sawkins	Sawkins, Lionel. A Thematic Catalogue of the Works of Michel-Richard de Lalande (1657-1726). London: Oxford University Press, 2005.	S. (n 80057151)	Authorized or variant access points.	
103	Langgaard, Rued, 1893-1952	https://cmc.wp.musiclibraryassoc.org/thematic-index/langgaard-rued-1893-1952/	1	Viinholt	Viinholt Nielsen, Bendt. Rued Langgaards kompositioner: annoteret vœrkfortegnelse. Odense: Odense universitetsforlag, 1991.	BVN	Variant access points only.	
104	Laube, Antonín, 1718-1784	https://cmc.wp.musiclibraryassoc.org/thematic-index/laube-antonin-1718-1784/	1	Rutová	Rutová, Milada. \"Thematic Index: Laube.\" In The Symphony, 1720-1840, ed. Barry S. Brook, ser. B, vol. 13. New York: Garland, 1984.	R. (n 84072185)	For symphonies; use in authorized or variant access points.	Thematic index on p. xv-xvi.
105	Leberl, Rudolf, 1884-1952	https://cmc.wp.musiclibraryassoc.org/thematic-index/leberl-rudolf-1884-1952/	1	Engleberger	Engleberger, Thomas. Systematisch-chronologisches Verzeichnis der Werke von Rudolf Leberl (1884-1952). Veröffentlichungen des Sudetendeutschen Musikinstituts. Allgemeine Reihe, Bd. 2. Regensburg: Sudetendeutsches Musikinstitut, 1994.	LWV (n 97019837)	Authorized or variant access points.	
106	Lehmann, Markus	https://cmc.wp.musiclibraryassoc.org/thematic-index/lehmann-markus/	1	Arnold	Universitätsarchiv der Albert-Ludwigs-Universität Freiburg im Breisgau. Bestand C 0154, Nachlass Markus Lehmann, 1920-2003. Bearbeitet von Klauss Jochen Arnold Freiburg i.Br.: Universitätsarchiv der Albert-Ludwigs-Universität, 2004.	WV	Authorized or variant access points.	Index available online (http://www.uniarchiv.uni-freiburg.de/bestaende/Fremdprovenienzen/nachlass/c0154/findbuchc0154)
107	Liszt, Franz, 1811-1886	https://cmc.wp.musiclibraryassoc.org/thematic-index/liszt-franz-1811-1886/	1	Eckhardt	Eckhardt, Maria and Rena Charnin Mueller. “Works.” In Alan Walker, et al., “Liszt, Franz,” Grove Music Online. Oxford Music Online. Oxford University Press, accessed September 27, 2017.	LW	Variant access points only.	Searle numbers also available in New Grove, 2nd ed.
107	Liszt, Franz, 1811-1886	https://cmc.wp.musiclibraryassoc.org/thematic-index/liszt-franz-1811-1886/	2	Raabe	Raabe, Peter. “Verzeichnis aller Werke Liszts nach Gruppen geordnet.” In Peter Raabe, Liszts Schaffen, vol. 2 of Franz Liszt, 2nd ed., rev. by Felix Raabe, 241-364. Tutzing: Hans Schneider, 1968.	R.	Variant access points only.	Numbers also available in New Grove and MGG2.
107	Liszt, Franz, 1811-1886	https://cmc.wp.musiclibraryassoc.org/thematic-index/liszt-franz-1811-1886/	3	Searle	Searle, Humphrey. The Music of Liszt. 2d, rev. ed. New York: Dover Publications, 1966.	S.	Variant access points only.	Searle numbers also available in New Grove, 2nd ed.
108	Lully, Jean-Baptiste, 1632-1687	https://cmc.wp.musiclibraryassoc.org/thematic-index/lully-jean-baptiste-1632-1687/	1	Schneider	Schneider, Herbert. Chronologisch-thematisches Verzeichnis sämtlicher Werke von Jean-Baptiste Lully (LWV). Mainzer Studien zur Musikwissenschaft, Bd. 14. Tutzing: Hans Schneider, 1981.	LWV	Variant access points only.	LWV numbers also available in New Grove, 2nd ed.
109	Lupo, Thomas, -1628	https://cmc.wp.musiclibraryassoc.org/thematic-index/lupo-thomas-1628/	1	Meyer-Lupo	Meyer, Ernst Hermann. Die mehrstimmige Spielmusik des 17. Jahrhunderts in Nord- und Mittel-Europa. Kassel: Bärenreiter-Verlag, 1934.	M. (n  83177474)	For the fantasias; use in authorized and variant access points.	Expanded version available via VdGS (https://vdgs.org.uk/thematic/Lo.pdf)
110	Lutosławski, Witold, 1913-1994	https://cmc.wp.musiclibraryassoc.org/thematic-index/lutoslawski-witold-1913-1994/	1	Będkowski	Będkowski, Stanisław and Stanisław Hrabia. Witold Lutosławski: A Bio-Bibliography. Westport, CN: Greenwood Press, 2001.	W, Wf, Wt, Wr, or Wp	Variant access points only.	The Będkowski source separates Lutosławski's main body of work from other more specific genres. As such, \"W\" is used for his main body of work, \"Wf\" is used for film music, \"Wt\" is used for incidental music for the theatre, \"Wr\" is used for music for radio plays, and \"Wp\" is used for songs composed under the pseudonym \"Derwid\" (or \"Bardos\"). For each abbreviation, numbers following are given with no space or punctuation in between (for example: W36; Wr75; Wp10).
111	Maldere, Pierre van, 1729-1768	https://cmc.wp.musiclibraryassoc.org/thematic-index/maldere-pierre-van-1729-1768/	1	Rompaey	Rompaey,Willy van. Pieter van Maldere (1729-1768): Thematic Catalogue of the Instrumental Works. Aartselaar, Belgium: W. van Rompaey, 1990.	VR (n 86869733)	For instrumental works not in sets (by opus no., date, etc.); use in authorized or variant access points.	A Dutch language edition also exists.
